date,home_team,away_team,score,xg_home,xg_away,attendance,venue,match_report_url
2024-11-09,Huesca,Zaragoza,1–1,,,6895,Estadio El Alcoraz,
2024-11-09,Granada,Eldense,3–2,,,15878,Estadio Nuevo Los Cármenes,
2024-11-09,Málaga,Cartagena,1–0,,,24101,Estadio La Rosaleda,
2024-11-10,Córdoba,Castellón,2–2,,,14486,Estadio Nuevo Arcángel,
2024-11-10,Burgos,Sporting Gijón,0–2,,,11100,Estadio Municipal de El Plantío,
2024-11-10,Racing Ferrol,Racing Sant,1–2,,,7018,Estadio Municipal de A Malata,
2024-11-10,Albacete,Oviedo,2–2,,,11327,Estadio Carlos Belmonte,
2024-11-11,Dep La Coruña,Eibar,1–0,,,19980,Estadio Abanca-Riazor,
2024-11-16,Eibar,Racing Ferrol,2–0,,,4321,Estadio Municipal de Ipurúa,
2024-11-16,Eldense,Albacete,2–0,,,5069,Estadio Municipal Nuevo Pepico Amat,
2024-11-16,Castellón,CD Mirandés,1–3,,,10987,Estadio SkyFi Castalia,
2024-11-16,Levante,Elche,1–1,,,19177,Estadio Ciudad de Valencia,
2024-11-16,Racing Sant,Burgos,2–0,,,21043,Campos de Sport de El Sardinero,
2024-11-16,Sporting Gijón,Granada,1–2,,,22526,Estadio Municipal El Molinón,
2024-11-17,Cádiz,Córdoba,2–0,,,16006,Estadio Nuevo Mirandilla,
2024-11-17,Oviedo,Tenerife,3–1,,,21126,Estadio Nuevo Carlos Tartiere,
2024-11-17,Cartagena,Huesca,1–0,,,6020,Estadio Municipal Cartagonova,
2024-11-17,Almería,Dep La Coruña,2–1,,,12814,UD Almería Stadium,
2024-11-17,Zaragoza,Málaga,0–0,,,18054,Estadio de la Romareda,
2024-11-20,Eldense,Huesca,2–1,,,4259,Estadio Municipal Nuevo Pepico Amat,
2024-11-22,Racing Ferrol,Levante,0–0,,,6322,Estadio Municipal de A Malata,
2024-11-23,Cartagena,Almería,1–2,,,6786,Estadio Municipal Cartagonova,
2024-11-23,Granada,Cádiz,0–0,,,17704,Estadio Nuevo Los Cármenes,
2024-11-23,Córdoba,Zaragoza,2–2,,,18189,Estadio Nuevo Arcángel,
